value,savings,description_doge,total_obligation,award_amount,link,fain_key,date,agency,funding_opportunity_goals,total_obligated_amount,federal_action_obligation,non_federal_funding_amount,action_date,action_date_fiscal_year,awarding_agency_name,awarding_sub_agency_name,funding_office_name,recipient_name,recipient_parent_name,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_state_name,cfda_title,business_types_description,action_type_description,sector
925733.0,504559.27,"STEM-BASED MAKING FOR YOUTH, FAMILIES, AND COMMUNITIES",925733.0,304557.0,https://usaspending.gov/award/ASST_NON_2115160_4900,2115160,4/25/2025,National Science Foundation,,925733.0,304557.0,0.0,2023-07-18,2023.0,National Science Foundation,National Science Foundation,DIV OF RESEARCH ON LEARNING IN,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,THE UNIVERSITY OF NORTH CAROLINA,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,STEM EDUCATION (FORMERLY EDUCATION AND HUMAN RESOURCES),PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,CONTINUATION,Education
346165.0,119052.35,COLLABORATIVE RESEARCH: A SPATIAL ANALYSIS OF THE DISTRIBUTION AND CONSEQUENCES OF HEALTH CARE POLICY IMPLEMENTATION IN A FEDERAL SYSTEM,346165.0,346165.0,https://usaspending.gov/award/ASST_NON_2116771_4900,2116771,4/25/2025,National Science Foundation,"THE GOAL OF THIS PROGRAM IS TO SUPPORT RESEARCH PROPOSALS SPECIFIC TO ""ACCOUNTABLE INSTITUTIONS AND BEHAVIOR",346165.0,346165.0,0.0,2021-07-19,2021.0,National Science Foundation,National Science Foundation,DIV OF SOCIAL AND ECONOMIC SCIENCE,DUKE UNIVERSITY,DUKE UNIVERSITY,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",PRIVATE INSTITUTION OF HIGHER EDUCATION,NEW,Science and Innovation
346165.0,119052.35,COLLABORATIVE RESEARCH: A SPATIAL ANALYSIS OF THE DISTRIBUTION AND CONSEQUENCES OF HEALTH CARE POLICY IMPLEMENTATION IN A FEDERAL SYSTEM,346165.0,0.0,https://usaspending.gov/award/ASST_NON_2116771_4900,2116771,4/25/2025,National Science Foundation,"THE GOAL OF THIS PROGRAM IS TO SUPPORT RESEARCH PROPOSALS SPECIFIC TO ""ACCOUNTABLE INSTITUTIONS AND BEHAVIOR",346165.0,0.0,0.0,2024-06-27,2024.0,National Science Foundation,National Science Foundation,DIV OF SOCIAL AND ECONOMIC SCIENCE,DUKE UNIVERSITY,DUKE UNIVERSITY,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",PRIVATE INSTITUTION OF HIGHER EDUCATION,REVISION,Science and Innovation
202645.0,40975.88,"BUILDING HIGH-QUALITY K-12 COMPUTER SCIENCE EDUCATION RESEARCH ACROSS AN OUTCOME FRAMEWORK OF EQUITABLE CAPACITY, ACCESS, PARTICIPATION, AND EXPERIENCE",202645.0,114823.0,https://usaspending.gov/award/ASST_NON_2122213_4900,2122213,4/25/2025,National Science Foundation,"THE GOAL OF THIS FUNDING OPPORTUNITY, ""COMPUTER SCIENCE FOR ALL"", IS IDENTIFIED IN THE LINK: HTTPS://WWW.NSF.GOV/PUBLICATIONS/PUB_SUMM.JSP?ODS_KEY=NSF20539",202645.0,114823.0,0.0,2021-08-24,2021.0,National Science Foundation,National Science Foundation,DIV OF RESEARCH ON LEARNING IN,NORTH CAROLINA STATE UNIVERSITY,THE UNIVERSITY OF NORTH CAROLINA,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,EDUCATION AND HUMAN RESOURCES,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,NEW,Education
202645.0,40975.88,"BUILDING HIGH-QUALITY K-12 COMPUTER SCIENCE EDUCATION RESEARCH ACROSS AN OUTCOME FRAMEWORK OF EQUITABLE CAPACITY, ACCESS, PARTICIPATION, AND EXPERIENCE",202645.0,87822.0,https://usaspending.gov/award/ASST_NON_2122213_4900,2122213,4/25/2025,National Science Foundation,"THE GOAL OF THIS FUNDING OPPORTUNITY, ""COMPUTER SCIENCE FOR ALL"", IS IDENTIFIED IN THE LINK: HTTPS://WWW.NSF.GOV/PUBLICATIONS/PUB_SUMM.JSP?ODS_KEY=NSF20539",202645.0,87822.0,0.0,2023-08-17,2023.0,National Science Foundation,National Science Foundation,DIV OF RESEARCH ON LEARNING IN,NORTH CAROLINA STATE UNIVERSITY,THE UNIVERSITY OF NORTH CAROLINA,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,STEM EDUCATION (FORMERLY EDUCATION AND HUMAN RESOURCES),PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,CONTINUATION,Education
202645.0,40975.88,"BUILDING HIGH-QUALITY K-12 COMPUTER SCIENCE EDUCATION RESEARCH ACROSS AN OUTCOME FRAMEWORK OF EQUITABLE CAPACITY, ACCESS, PARTICIPATION, AND EXPERIENCE",202645.0,0.0,https://usaspending.gov/award/ASST_NON_2122213_4900,2122213,4/25/2025,National Science Foundation,"THE GOAL OF THIS FUNDING OPPORTUNITY, ""COMPUTER SCIENCE FOR ALL"", IS IDENTIFIED IN THE LINK: HTTPS://WWW.NSF.GOV/PUBLICATIONS/PUB_SUMM.JSP?ODS_KEY=NSF20539",202645.0,0.0,0.0,2024-08-23,2024.0,National Science Foundation,National Science Foundation,DIV OF RESEARCH ON LEARNING IN,NORTH CAROLINA STATE UNIVERSITY,NORTH CAROLINA STATE UNIVERSITY,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,STEM EDUCATION (FORMERLY EDUCATION AND HUMAN RESOURCES),PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,REVISION,Education
243709.0,109120.27,"COLLABORATIVE RESEARCH: THE ROLE OF ELITES, ORGANIZATIONS, AND MOVEMENTS IN RESHAPING POLITICS AND POLICYMAKING",243709.0,243709.0,https://usaspending.gov/award/ASST_NON_2127911_4900,2127911,4/25/2025,National Science Foundation,,243709.0,243709.0,0.0,2021-08-02,2021.0,National Science Foundation,National Science Foundation,DIV OF SOCIAL AND ECONOMIC SCIENCE,NORTH CAROLINA CENTRAL UNIVERSITY,THE UNIVERSITY OF NORTH CAROLINA,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,NEW,Science and Innovation
652289.0,17343.71,COLLABORATIVE RESEARCH: BPC-AE: STARS: CATALYZING ACTION-ORIENTED ACADEMIC COMMUNITIES FOR BROADENING PARTICIPATION IN COMPUTING,652289.0,430098.0,https://usaspending.gov/award/ASST_NON_2137317_4900,2137317,4/25/2025,National Science Foundation,"THE GOAL OF THIS FUNDING OPPORTUNITY, ""BROADENING PARTICIPATION IN COMPUTING"", IS IDENTIFIED IN THE LINK: HTTPS://WWW.NSF.GOV/PUBLICATIONS/PUB_SUMM.JSP?ODS_KEY=NSF21571",652289.0,430098.0,0.0,2021-08-26,2021.0,National Science Foundation,National Science Foundation,DIV OF COMPUTER  NETWORK SYSTEMS,NORTH CAROLINA STATE UNIVERSITY,THE UNIVERSITY OF NORTH CAROLINA,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,COMPUTER AND INFORMATION SCIENCE AND ENGINEERING,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,NEW,Science and Innovation
652289.0,17343.71,COLLABORATIVE RESEARCH: BPC-AE: STARS: CATALYZING ACTION-ORIENTED ACADEMIC COMMUNITIES FOR BROADENING PARTICIPATION IN COMPUTING,652289.0,222191.0,https://usaspending.gov/award/ASST_NON_2137317_4900,2137317,4/25/2025,National Science Foundation,"THE GOAL OF THIS FUNDING OPPORTUNITY, ""BROADENING PARTICIPATION IN COMPUTING"", IS IDENTIFIED IN THE LINK: HTTPS://WWW.NSF.GOV/PUBLICATIONS/PUB_SUMM.JSP?ODS_KEY=NSF21571",652289.0,222191.0,0.0,2022-08-05,2022.0,National Science Foundation,National Science Foundation,DIV OF COMPUTER  NETWORK SYSTEMS,NORTH CAROLINA STATE UNIVERSITY,THE UNIVERSITY OF NORTH CAROLINA,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,COMPUTER AND INFORMATION SCIENCE AND ENGINEERING,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,CONTINUATION,Science and Innovation
652289.0,17343.71,COLLABORATIVE RESEARCH: BPC-AE: STARS: CATALYZING ACTION-ORIENTED ACADEMIC COMMUNITIES FOR BROADENING PARTICIPATION IN COMPUTING,652289.0,0.0,https://usaspending.gov/award/ASST_NON_2137317_4900,2137317,4/25/2025,National Science Foundation,"THE GOAL OF THIS FUNDING OPPORTUNITY, ""BROADENING PARTICIPATION IN COMPUTING"", IS IDENTIFIED IN THE LINK: HTTPS://WWW.NSF.GOV/PUBLICATIONS/PUB_SUMM.JSP?ODS_KEY=NSF21571",652289.0,0.0,0.0,2024-02-29,2024.0,National Science Foundation,National Science Foundation,DIV OF COMPUTER  NETWORK SYSTEMS,NORTH CAROLINA STATE UNIVERSITY,,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,COMPUTER AND INFORMATION SCIENCE AND ENGINEERING,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,REVISION,Science and Innovation
727541.0,272504.29,"CAREER: FOSTERING EARLY STEM EXPLORATION WITH GIFTED AND HIGH ABILITY BLACK GIRLS AND THEIR ELEMENTARY TEACHERS THROUGH CULTURALLY RELEVANT EXPERIENTIAL LEARNING ACTIVITIES -THERE IS LIMITED SCHOLARSHIP ON THE EXPERIENCES OF GIFTED BLACK GIRLS IN STEM EDUCATION. BLACK GIRLS ARE UNDERREPRESENTED BY ALMOST 40% IN GIFTED PROGRAMS, AND UNDER-REFERRED FOR ADVANCED COURSE WORK, SUCH AS STEM-FOCUSED ADVANCED PLACEMENT AND OTHER COURSES. THIS PROPOSED CAREER PROJECT FILLS A THEORETICAL GAP RELATED TO THE INTERSECTIONS OF RACE, GENDER, CLASS, AND COGNITIVE ABILITY IN GIFTED, URBAN, AND TEACHER EDUCATION. THE RESEARCHER WILL DEVELOP AND STUDY CO-LEARNING, COMMUNITY-ENGAGED EDUCATIONAL PROGRAMS THAT CENTER STEM EDUCATION PIPELINES AND PATHWAYS FOR GIFTED BLACK GIRLS. THE CENTRAL AIM OF THIS PROPOSED PROJECT IS TO BRING ABOUT AN ACTIONABLE THEORY OF CHANGE AT THE ELEMENTARY LEVEL TO FOSTER A SENSE OF BELONGING IN STEM, EARLY STEM EXPLORATION AND DEVELOPMENT, AND NURTURING A STEM IDENTITY, THROUGH CRITICAL AND CULTURALLY RELEVANT EXPERIENTIAL LEARNING. THE PROJECT WILL ALSO DEVELOP CURRICULAR MATERIALS FOR GIFTED BLACK GIRLS AND THEIR FAMILIES (SEE ME IN STEM) AS WELL AS PROFESSIONAL DEVELOPMENT MATERIALS FOR TEACHERS (TEACHERS AS TALENT CATALYSTS) AS PART OF THE EDUCATIONAL INTEGRATION PLAN. THIS CAREER AWARD IS FUNDED BY THE DISCOVERY RESEARCH PREK-12 PROGRAM (DRK-12) WHICH SEEKS TO SIGNIFICANTLY ENHANCE THE LEARNING AND TEACHING OF SCIENCE, TECHNOLOGY, ENGINEERING AND MATHEMATICS (STEM) BY PREK-12 STUDENTS AND TEACHERS, THROUGH RESEARCH AND DEVELOPMENT OF INNOVATIVE RESOURCES, MODELS AND TOOLS. PROJECTS IN THE DRK-12 PROGRAM BUILD ON FUNDAMENTAL RESEARCH IN STEM EDUCATION AND PRIOR RESEARCH AND DEVELOPMENT EFFORTS THAT PROVIDE THEORETICAL AND EMPIRICAL JUSTIFICATION FOR PROPOSED PROJECTS. THE RESEARCHER WILL PROVIDE 20 ELEMENTARY TEACHERS WITH PROFESSIONAL LEARNING BASED ON RELEVANT LITERATURE AND THE EXPRESSED NEEDS OF GIFTED BLACK GIRLS IN STEM USING COMMUNITY AND FAMILIAL INPUT. TEACHER PARTICIPANTS WILL BE IMMERSED IN CULTURALLY RELEVANT EXPERIENTIAL STEM TEACHING PROCESSES TO ENHANCE THEIR PEDAGOGY. A MIXED-METHODS RESEARCH DESIGN WILL INFORM THE DEVELOPMENT AND IMPLEMENTATION OF TWO COMPONENTS OF THE PROJECT, THE TEACHER DEVELOPMENT PROGRAM, TEACHERS AS TALENT CATALYSTS, AND THE CURRICULUM DEVELOPED FOR USE WITH 40 BLACK GIRLS IDENTIFIED AS GIFTED AND THEIR FAMILIES, SEE ME IN STEM. THE INTENDED RESEARCH OUTCOMES INCLUDE: (1) INCREASED UNDERSTANDING OF THE EXPERIENCES OF ELEMENTARY-AGED GIFTED BLACK GIRLS WITH RESPECT TO STEM IDENTITY VIA EXPERIENTIAL LEARNING; (2) DEVELOPMENT OF A THEORY THAT CENTERS THE VOICES, HISTORICAL LEGACIES, AND INTERESTS OF GIFTED BLACK GIRLS, THEIR COMMUNITY INTERESTS, AND FAMILIES AS PARTNERS; (3) A CO-DEVELOPED MODEL FOR PARTNERSHIP DEVELOPMENT THAT SUPPORTS A SHARED VISION FOR TALENT IDENTIFICATION AND DEVELOPMENT IN ELEMENTARY STEM FOR GIFTED BLACK GIRLS; AND (4) INCREASED UNDERSTANDING OF HOW THE CO-LEARNING MODEL AND COLLABORATIVE APPROACH INFORMS THE STEM TALENT IDENTIFICATION AND DEVELOPMENT OF GIFTED BLACK GIRLS. THIS AWARD REFLECTS NSF'S STATUTORY MISSION AND HAS BEEN DEEMED WORTHY OF SUPPORT THROUGH EVALUATION USING THE FOUNDATION'S INTELLECTUAL MERIT AND BROADER IMPACTS REVIEW CRITERIA.",727541.0,349505.0,https://usaspending.gov/award/ASST_NON_2144618_4900,2144618,4/25/2025,National Science Foundation,"THE GOAL OF THIS FUNDING OPPORTUNITY, ""FACULTY EARLY CAREER DEVELOPMENT PROGRAM"", IS IDENTIFIED IN THE LINK: HTTPS://WWW.NSF.GOV/PUBLICATIONS/PUB_SUMM.JSP?ODS_KEY=NSF20525",505479.0,349505.0,0.0,2022-04-12,2022.0,National Science Foundation,National Science Foundation,DIV OF RESEARCH ON LEARNING IN,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,THE UNIVERSITY OF NORTH CAROLINA,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,EDUCATION AND HUMAN RESOURCES,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,NEW,Education
727541.0,272504.29,"CAREER: FOSTERING EARLY STEM EXPLORATION WITH GIFTED AND HIGH ABILITY BLACK GIRLS AND THEIR ELEMENTARY TEACHERS THROUGH CULTURALLY RELEVANT EXPERIENTIAL LEARNING ACTIVITIES -THERE IS LIMITED SCHOLARSHIP ON THE EXPERIENCES OF GIFTED BLACK GIRLS IN STEM EDUCATION. BLACK GIRLS ARE UNDERREPRESENTED BY ALMOST 40% IN GIFTED PROGRAMS, AND UNDER-REFERRED FOR ADVANCED COURSE WORK, SUCH AS STEM-FOCUSED ADVANCED PLACEMENT AND OTHER COURSES. THIS PROPOSED CAREER PROJECT FILLS A THEORETICAL GAP RELATED TO THE INTERSECTIONS OF RACE, GENDER, CLASS, AND COGNITIVE ABILITY IN GIFTED, URBAN, AND TEACHER EDUCATION. THE RESEARCHER WILL DEVELOP AND STUDY CO-LEARNING, COMMUNITY-ENGAGED EDUCATIONAL PROGRAMS THAT CENTER STEM EDUCATION PIPELINES AND PATHWAYS FOR GIFTED BLACK GIRLS. THE CENTRAL AIM OF THIS PROPOSED PROJECT IS TO BRING ABOUT AN ACTIONABLE THEORY OF CHANGE AT THE ELEMENTARY LEVEL TO FOSTER A SENSE OF BELONGING IN STEM, EARLY STEM EXPLORATION AND DEVELOPMENT, AND NURTURING A STEM IDENTITY, THROUGH CRITICAL AND CULTURALLY RELEVANT EXPERIENTIAL LEARNING. THE PROJECT WILL ALSO DEVELOP CURRICULAR MATERIALS FOR GIFTED BLACK GIRLS AND THEIR FAMILIES (SEE ME IN STEM) AS WELL AS PROFESSIONAL DEVELOPMENT MATERIALS FOR TEACHERS (TEACHERS AS TALENT CATALYSTS) AS PART OF THE EDUCATIONAL INTEGRATION PLAN. THIS CAREER AWARD IS FUNDED BY THE DISCOVERY RESEARCH PREK-12 PROGRAM (DRK-12) WHICH SEEKS TO SIGNIFICANTLY ENHANCE THE LEARNING AND TEACHING OF SCIENCE, TECHNOLOGY, ENGINEERING AND MATHEMATICS (STEM) BY PREK-12 STUDENTS AND TEACHERS, THROUGH RESEARCH AND DEVELOPMENT OF INNOVATIVE RESOURCES, MODELS AND TOOLS. PROJECTS IN THE DRK-12 PROGRAM BUILD ON FUNDAMENTAL RESEARCH IN STEM EDUCATION AND PRIOR RESEARCH AND DEVELOPMENT EFFORTS THAT PROVIDE THEORETICAL AND EMPIRICAL JUSTIFICATION FOR PROPOSED PROJECTS. THE RESEARCHER WILL PROVIDE 20 ELEMENTARY TEACHERS WITH PROFESSIONAL LEARNING BASED ON RELEVANT LITERATURE AND THE EXPRESSED NEEDS OF GIFTED BLACK GIRLS IN STEM USING COMMUNITY AND FAMILIAL INPUT. TEACHER PARTICIPANTS WILL BE IMMERSED IN CULTURALLY RELEVANT EXPERIENTIAL STEM TEACHING PROCESSES TO ENHANCE THEIR PEDAGOGY. A MIXED-METHODS RESEARCH DESIGN WILL INFORM THE DEVELOPMENT AND IMPLEMENTATION OF TWO COMPONENTS OF THE PROJECT, THE TEACHER DEVELOPMENT PROGRAM, TEACHERS AS TALENT CATALYSTS, AND THE CURRICULUM DEVELOPED FOR USE WITH 40 BLACK GIRLS IDENTIFIED AS GIFTED AND THEIR FAMILIES, SEE ME IN STEM. THE INTENDED RESEARCH OUTCOMES INCLUDE: (1) INCREASED UNDERSTANDING OF THE EXPERIENCES OF ELEMENTARY-AGED GIFTED BLACK GIRLS WITH RESPECT TO STEM IDENTITY VIA EXPERIENTIAL LEARNING; (2) DEVELOPMENT OF A THEORY THAT CENTERS THE VOICES, HISTORICAL LEGACIES, AND INTERESTS OF GIFTED BLACK GIRLS, THEIR COMMUNITY INTERESTS, AND FAMILIES AS PARTNERS; (3) A CO-DEVELOPED MODEL FOR PARTNERSHIP DEVELOPMENT THAT SUPPORTS A SHARED VISION FOR TALENT IDENTIFICATION AND DEVELOPMENT IN ELEMENTARY STEM FOR GIFTED BLACK GIRLS; AND (4) INCREASED UNDERSTANDING OF HOW THE CO-LEARNING MODEL AND COLLABORATIVE APPROACH INFORMS THE STEM TALENT IDENTIFICATION AND DEVELOPMENT OF GIFTED BLACK GIRLS. THIS AWARD REFLECTS NSF'S STATUTORY MISSION AND HAS BEEN DEEMED WORTHY OF SUPPORT THROUGH EVALUATION USING THE FOUNDATION'S INTELLECTUAL MERIT AND BROADER IMPACTS REVIEW CRITERIA.",727541.0,209341.0,https://usaspending.gov/award/ASST_NON_2144618_4900,2144618,4/25/2025,National Science Foundation,"THE GOAL OF THIS FUNDING OPPORTUNITY, ""FACULTY EARLY CAREER DEVELOPMENT PROGRAM"", IS IDENTIFIED IN THE LINK: HTTPS://WWW.NSF.GOV/PUBLICATIONS/PUB_SUMM.JSP?ODS_KEY=NSF20525",505479.0,209341.0,0.0,2024-07-16,2024.0,National Science Foundation,National Science Foundation,DIV OF RESEARCH ON LEARNING IN,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,THE UNIVERSITY OF NORTH CAROLINA,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,STEM EDUCATION (FORMERLY EDUCATION AND HUMAN RESOURCES),PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,CONTINUATION,Education
727541.0,272504.29,"CAREER: FOSTERING EARLY STEM EXPLORATION WITH GIFTED AND HIGH ABILITY BLACK GIRLS AND THEIR ELEMENTARY TEACHERS THROUGH CULTURALLY RELEVANT EXPERIENTIAL LEARNING ACTIVITIES -THERE IS LIMITED SCHOLARSHIP ON THE EXPERIENCES OF GIFTED BLACK GIRLS IN STEM EDUCATION. BLACK GIRLS ARE UNDERREPRESENTED BY ALMOST 40% IN GIFTED PROGRAMS, AND UNDER-REFERRED FOR ADVANCED COURSE WORK, SUCH AS STEM-FOCUSED ADVANCED PLACEMENT AND OTHER COURSES. THIS PROPOSED CAREER PROJECT FILLS A THEORETICAL GAP RELATED TO THE INTERSECTIONS OF RACE, GENDER, CLASS, AND COGNITIVE ABILITY IN GIFTED, URBAN, AND TEACHER EDUCATION. THE RESEARCHER WILL DEVELOP AND STUDY CO-LEARNING, COMMUNITY-ENGAGED EDUCATIONAL PROGRAMS THAT CENTER STEM EDUCATION PIPELINES AND PATHWAYS FOR GIFTED BLACK GIRLS. THE CENTRAL AIM OF THIS PROPOSED PROJECT IS TO BRING ABOUT AN ACTIONABLE THEORY OF CHANGE AT THE ELEMENTARY LEVEL TO FOSTER A SENSE OF BELONGING IN STEM, EARLY STEM EXPLORATION AND DEVELOPMENT, AND NURTURING A STEM IDENTITY, THROUGH CRITICAL AND CULTURALLY RELEVANT EXPERIENTIAL LEARNING. THE PROJECT WILL ALSO DEVELOP CURRICULAR MATERIALS FOR GIFTED BLACK GIRLS AND THEIR FAMILIES (SEE ME IN STEM) AS WELL AS PROFESSIONAL DEVELOPMENT MATERIALS FOR TEACHERS (TEACHERS AS TALENT CATALYSTS) AS PART OF THE EDUCATIONAL INTEGRATION PLAN. THIS CAREER AWARD IS FUNDED BY THE DISCOVERY RESEARCH PREK-12 PROGRAM (DRK-12) WHICH SEEKS TO SIGNIFICANTLY ENHANCE THE LEARNING AND TEACHING OF SCIENCE, TECHNOLOGY, ENGINEERING AND MATHEMATICS (STEM) BY PREK-12 STUDENTS AND TEACHERS, THROUGH RESEARCH AND DEVELOPMENT OF INNOVATIVE RESOURCES, MODELS AND TOOLS. PROJECTS IN THE DRK-12 PROGRAM BUILD ON FUNDAMENTAL RESEARCH IN STEM EDUCATION AND PRIOR RESEARCH AND DEVELOPMENT EFFORTS THAT PROVIDE THEORETICAL AND EMPIRICAL JUSTIFICATION FOR PROPOSED PROJECTS. THE RESEARCHER WILL PROVIDE 20 ELEMENTARY TEACHERS WITH PROFESSIONAL LEARNING BASED ON RELEVANT LITERATURE AND THE EXPRESSED NEEDS OF GIFTED BLACK GIRLS IN STEM USING COMMUNITY AND FAMILIAL INPUT. TEACHER PARTICIPANTS WILL BE IMMERSED IN CULTURALLY RELEVANT EXPERIENTIAL STEM TEACHING PROCESSES TO ENHANCE THEIR PEDAGOGY. A MIXED-METHODS RESEARCH DESIGN WILL INFORM THE DEVELOPMENT AND IMPLEMENTATION OF TWO COMPONENTS OF THE PROJECT, THE TEACHER DEVELOPMENT PROGRAM, TEACHERS AS TALENT CATALYSTS, AND THE CURRICULUM DEVELOPED FOR USE WITH 40 BLACK GIRLS IDENTIFIED AS GIFTED AND THEIR FAMILIES, SEE ME IN STEM. THE INTENDED RESEARCH OUTCOMES INCLUDE: (1) INCREASED UNDERSTANDING OF THE EXPERIENCES OF ELEMENTARY-AGED GIFTED BLACK GIRLS WITH RESPECT TO STEM IDENTITY VIA EXPERIENTIAL LEARNING; (2) DEVELOPMENT OF A THEORY THAT CENTERS THE VOICES, HISTORICAL LEGACIES, AND INTERESTS OF GIFTED BLACK GIRLS, THEIR COMMUNITY INTERESTS, AND FAMILIES AS PARTNERS; (3) A CO-DEVELOPED MODEL FOR PARTNERSHIP DEVELOPMENT THAT SUPPORTS A SHARED VISION FOR TALENT IDENTIFICATION AND DEVELOPMENT IN ELEMENTARY STEM FOR GIFTED BLACK GIRLS; AND (4) INCREASED UNDERSTANDING OF HOW THE CO-LEARNING MODEL AND COLLABORATIVE APPROACH INFORMS THE STEM TALENT IDENTIFICATION AND DEVELOPMENT OF GIFTED BLACK GIRLS. THIS AWARD REFLECTS NSF'S STATUTORY MISSION AND HAS BEEN DEEMED WORTHY OF SUPPORT THROUGH EVALUATION USING THE FOUNDATION'S INTELLECTUAL MERIT AND BROADER IMPACTS REVIEW CRITERIA.",727541.0,168695.0,https://usaspending.gov/award/ASST_NON_2144618_4900,2144618,4/25/2025,National Science Foundation,"THE GOAL OF THIS FUNDING OPPORTUNITY, ""FACULTY EARLY CAREER DEVELOPMENT PROGRAM"", IS IDENTIFIED IN THE LINK: HTTPS://WWW.NSF.GOV/PUBLICATIONS/PUB_SUMM.JSP?ODS_KEY=NSF20525",505479.0,168695.0,0.0,2024-03-28,2024.0,National Science Foundation,National Science Foundation,DIV OF RESEARCH ON LEARNING IN,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,THE UNIVERSITY OF NORTH CAROLINA,SINGLE ZIP CODE,USA,UNITED STATES,NORTH CAROLINA,STEM EDUCATION (FORMERLY EDUCATION AND HUMAN RESOURCES),PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,REVISION,Education
